File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,424095883.978964,0.000053,0.000000,0.000050,0.001264,37,1000
/data/egentili/af_1_k101.mtx,5839414955.107549,0.006011,0.000000,0.005974,0.010290,37,1000
/data/egentili/af23560.mtx,19572680470.647526,0.000047,0.000000,0.000044,0.000325,37,1000
/data/egentili/amazon0302.mtx,13245379232.648670,0.000186,0.000000,0.000181,0.001072,37,1000
/data/egentili/bcsstk17.mtx,16497949080.185604,0.000052,0.000000,0.000050,0.000401,37,1000
/data/egentili/cage4.mtx,8209918.252224,0.000012,0.000000,0.000009,0.000018,37,1000
/data/egentili/cant.mtx,11500666000.902472,0.000697,0.000000,0.000673,0.002469,37,1000
/data/egentili/cavity10.mtx,5977059262.816513,0.000025,0.000000,0.000022,0.000162,37,1000
/data/egentili/cop20k_A.mtx,8190351062.409189,0.000641,0.000000,0.000606,0.001775,37,1000
/data/egentili/Cube_Coup_dt0.mtx,8454086898.665175,0.029431,0.000056,0.024620,0.076053,37,1000
/data/egentili/dc1.mtx,257669018.428790,0.005949,0.000000,0.005831,0.011630,37,1000
/data/egentili/FEM_3D_thermal1.mtx,18474479600.666706,0.000047,0.000000,0.000044,0.000353,37,1000
/data/egentili/lung2.mtx,11348754684.139328,0.000087,0.000000,0.000083,0.000533,37,1000
/data/egentili/mac_econ_fwd500.mtx,2901189829.342719,0.000878,0.000000,0.000849,0.002715,37,1000
/data/egentili/mcfe.mtx,2615745289.369917,0.000019,0.000000,0.000016,0.000176,37,1000
/data/egentili/mhd4800a.mtx,8446151931.163618,0.000024,0.000000,0.000021,0.000158,37,1000
/data/egentili/mhda416.mtx,1201760867.131399,0.000014,0.000000,0.000012,0.000089,37,1000
/data/egentili/ML_Laplace.mtx,7466933982.473250,0.007388,0.000004,0.005405,0.015330,37,1000
/data/egentili/nlpkkt80.mtx,5128583616.788832,0.010994,0.000000,0.010884,0.018222,37,1000
/data/egentili/olafu.mtx,21760975920.105530,0.000093,0.000000,0.000090,0.000511,37,1000
/data/egentili/olm1000.mtx,644435183.426703,0.000012,0.000000,0.000010,0.000200,37,1000
/data/egentili/PR02R.mtx,5101916570.711096,0.003209,0.000000,0.003191,0.006140,37,1000
/data/egentili/raefsky2.mtx,17118472189.244398,0.000034,0.000000,0.000032,0.000256,37,1000
/data/egentili/rdist2.mtx,4649064025.620458,0.000024,0.000000,0.000021,0.000162,37,1000
/data/egentili/roadNet-PA.mtx,3365578324.401081,0.001833,0.000000,0.001795,0.003561,37,1000
/data/egentili/thermal1.mtx,15583476219.493952,0.000074,0.000000,0.000071,0.000670,37,1000
/data/egentili/thermal2.mtx,3585199013.276522,0.004787,0.000000,0.004751,0.008086,37,1000
/data/egentili/thermomech_TK.mtx,16136648397.040335,0.000088,0.000000,0.000084,0.000806,37,1000
/data/egentili/webbase-1M.mtx,1084292767.728863,0.005728,0.000000,0.005667,0.008045,37,1000
/data/egentili/west2021.mtx,1097392470.740038,0.000013,0.000000,0.000011,0.000031,37,1000
