File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,429967449.521907,0.000052,0.000000,0.000050,0.000542,2,1000
/data/egentili/af_1_k101.mtx,3216687431.876914,0.010912,0.000003,0.010626,0.033689,2,1000
/data/egentili/af23560.mtx,3359608481.159125,0.000274,0.000000,0.000272,0.000353,2,1000
/data/egentili/amazon0302.mtx,1267581422.271648,0.001948,0.000000,0.001846,0.006582,2,1000
/data/egentili/bcsstk17.mtx,2762356534.162546,0.000310,0.000000,0.000308,0.000423,2,1000
/data/egentili/cage4.mtx,109024852.034761,0.000001,0.000000,0.000001,0.000008,2,1000
/data/egentili/cant.mtx,2736052799.589013,0.002929,0.000000,0.002851,0.007726,2,1000
/data/egentili/cavity10.mtx,1797895950.041488,0.000085,0.000000,0.000083,0.000138,2,1000
/data/egentili/cop20k_A.mtx,1717965217.946588,0.003055,0.000000,0.002922,0.008520,2,1000
/data/egentili/Cube_Coup_dt0.mtx,3030791924.765589,0.082095,0.000059,0.080258,0.125344,2,1000
/data/egentili/dc1.mtx,255378238.543070,0.006002,0.000001,0.005883,0.017598,2,1000
/data/egentili/FEM_3D_thermal1.mtx,3325088112.323015,0.000259,0.000000,0.000257,0.000372,2,1000
/data/egentili/lung2.mtx,1623574969.273638,0.000607,0.000000,0.000558,0.002017,2,1000
/data/egentili/mac_econ_fwd500.mtx,827661010.126238,0.003077,0.000000,0.003004,0.010751,2,1000
/data/egentili/mcfe.mtx,1702370853.142142,0.000029,0.000000,0.000028,0.000089,2,1000
/data/egentili/mhd4800a.mtx,2445759442.068363,0.000084,0.000000,0.000083,0.000144,2,1000
/data/egentili/mhda416.mtx,2031001490.180462,0.000008,0.000000,0.000008,0.000013,2,1000
/data/egentili/ML_Laplace.mtx,3051805852.852097,0.018076,0.000010,0.017654,0.058345,2,1000
/data/egentili/nlpkkt80.mtx,3080828538.205659,0.018302,0.000008,0.017848,0.059206,2,1000
/data/egentili/olafu.mtx,2896845815.842923,0.000701,0.000000,0.000690,0.000819,2,1000
/data/egentili/olm1000.mtx,1507361315.050629,0.000005,0.000000,0.000005,0.000009,2,1000
/data/egentili/PR02R.mtx,2487357412.079007,0.006581,0.000002,0.006409,0.023494,2,1000
/data/egentili/raefsky2.mtx,3179214194.820359,0.000185,0.000000,0.000183,0.000268,2,1000
/data/egentili/rdist2.mtx,1086469526.609109,0.000105,0.000000,0.000103,0.000153,2,1000
/data/egentili/roadNet-PA.mtx,1165318689.920760,0.005293,0.000001,0.004894,0.015387,2,1000
/data/egentili/thermal1.mtx,2088793721.521738,0.000550,0.000000,0.000492,0.001877,2,1000
/data/egentili/thermal2.mtx,1678235117.636993,0.010225,0.000003,0.009925,0.034591,2,1000
/data/egentili/thermomech_TK.mtx,1963808487.640497,0.000725,0.000000,0.000671,0.002983,2,1000
/data/egentili/webbase-1M.mtx,584503521.595392,0.010626,0.000004,0.010331,0.032994,2,1000
/data/egentili/west2021.mtx,989414693.218745,0.000015,0.000000,0.000015,0.000020,2,1000
