File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,456221608.038904,0.000049,0.000000,0.000047,0.000849,10,1000
/data/egentili/af_1_k101.mtx,7021426150.457684,0.004999,0.000002,0.003159,0.009822,10,1000
/data/egentili/af23560.mtx,11697761450.516228,0.000079,0.000000,0.000063,0.000318,10,1000
/data/egentili/amazon0302.mtx,7045189654.960917,0.000351,0.000000,0.000342,0.001431,10,1000
/data/egentili/bcsstk17.mtx,11110748661.545233,0.000077,0.000000,0.000075,0.000368,10,1000
/data/egentili/cage4.mtx,22795562.525068,0.000004,0.000000,0.000003,0.000012,10,1000
/data/egentili/cant.mtx,8651316562.991810,0.000926,0.000000,0.000886,0.002335,10,1000
/data/egentili/cavity10.mtx,6112203427.555539,0.000025,0.000000,0.000023,0.000169,10,1000
/data/egentili/cop20k_A.mtx,3760648154.716869,0.001396,0.000000,0.001368,0.002049,10,1000
/data/egentili/Cube_Coup_dt0.mtx,8041396137.617429,0.030941,0.000090,0.024664,0.072584,10,1000
/data/egentili/dc1.mtx,274496486.663907,0.005584,0.000000,0.005522,0.006109,10,1000
/data/egentili/FEM_3D_thermal1.mtx,14080210239.814659,0.000061,0.000000,0.000059,0.000326,10,1000
/data/egentili/lung2.mtx,7673204164.426289,0.000128,0.000000,0.000126,0.000523,10,1000
/data/egentili/mac_econ_fwd500.mtx,2413669460.376980,0.001055,0.000000,0.001030,0.002521,10,1000
/data/egentili/mcfe.mtx,3885223314.534898,0.000013,0.000000,0.000011,0.000123,10,1000
/data/egentili/mhd4800a.mtx,8860635445.031652,0.000023,0.000000,0.000021,0.000163,10,1000
/data/egentili/mhda416.mtx,2846148433.436707,0.000006,0.000000,0.000005,0.000013,10,1000
/data/egentili/ML_Laplace.mtx,5913643060.756834,0.009328,0.000000,0.009236,0.015325,10,1000
/data/egentili/nlpkkt80.mtx,5440612192.719258,0.010364,0.000000,0.010297,0.016835,10,1000
/data/egentili/olafu.mtx,12228987381.328548,0.000166,0.000000,0.000163,0.000594,10,1000
/data/egentili/olm1000.mtx,1462250814.320179,0.000005,0.000000,0.000004,0.000023,10,1000
/data/egentili/PR02R.mtx,5132417493.194008,0.003190,0.000000,0.003134,0.005846,10,1000
/data/egentili/raefsky2.mtx,12158387038.360062,0.000048,0.000000,0.000046,0.000274,10,1000
/data/egentili/rdist2.mtx,4216686310.852135,0.000027,0.000000,0.000025,0.000180,10,1000
/data/egentili/roadNet-PA.mtx,4001661764.705304,0.001541,0.000000,0.001310,0.003505,10,1000
/data/egentili/thermal1.mtx,9969761584.129181,0.000115,0.000000,0.000113,0.000519,10,1000
/data/egentili/thermal2.mtx,3397292256.954185,0.005051,0.000000,0.004986,0.008495,10,1000
/data/egentili/thermomech_TK.mtx,9396144980.503826,0.000151,0.000000,0.000148,0.000849,10,1000
/data/egentili/webbase-1M.mtx,911244141.700914,0.006816,0.000000,0.006733,0.008857,10,1000
/data/egentili/west2021.mtx,1949505376.488090,0.000007,0.000000,0.000006,0.000021,10,1000
