File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,1483531982.765657,0.000015,0.000000,0.000010,0.001481,32,1000
/data/egentili/af_1_k101.mtx,6773712187.471148,0.005182,0.000001,0.004125,0.010196,32,1000
/data/egentili/af23560.mtx,22131406966.904873,0.000042,0.000000,0.000032,0.000285,32,1000
/data/egentili/amazon0302.mtx,13380522249.939875,0.000185,0.000000,0.000175,0.001162,32,1000
/data/egentili/bcsstk17.mtx,24602614861.326546,0.000035,0.000000,0.000032,0.000264,32,1000
/data/egentili/cage4.mtx,8825822.530902,0.000011,0.000000,0.000008,0.000018,32,1000
/data/egentili/cant.mtx,18313463081.200642,0.000438,0.000000,0.000396,0.002337,32,1000
/data/egentili/cavity10.mtx,11487172221.778805,0.000013,0.000000,0.000011,0.000153,32,1000
/data/egentili/cop20k_A.mtx,11379156287.817982,0.000461,0.000000,0.000426,0.001762,32,1000
/data/egentili/Cube_Coup_dt0.mtx,5560863768.370557,0.044743,0.000034,0.028652,0.071152,32,1000
/data/egentili/dc1.mtx,5080210080.257956,0.000302,0.000000,0.000297,0.000678,32,1000
/data/egentili/FEM_3D_thermal1.mtx,26391917029.344078,0.000033,0.000000,0.000030,0.000283,32,1000
/data/egentili/lung2.mtx,19267000000.063244,0.000051,0.000000,0.000043,0.000351,32,1000
/data/egentili/mac_econ_fwd500.mtx,24315740990.995495,0.000105,0.000000,0.000093,0.000890,32,1000
/data/egentili/mcfe.mtx,4250391700.909792,0.000011,0.000000,0.000009,0.000122,32,1000
/data/egentili/mhd4800a.mtx,13553404351.270653,0.000015,0.000000,0.000012,0.000147,32,1000
/data/egentili/mhda416.mtx,1569211517.602402,0.000011,0.000000,0.000008,0.000142,32,1000
/data/egentili/ML_Laplace.mtx,5725763074.949574,0.009635,0.000000,0.009487,0.015414,32,1000
/data/egentili/nlpkkt80.mtx,5611985254.501677,0.010047,0.000002,0.007120,0.016983,32,1000
/data/egentili/olafu.mtx,26397683136.889175,0.000077,0.000000,0.000062,0.000649,32,1000
/data/egentili/olm1000.mtx,729713159.025373,0.000011,0.000000,0.000008,0.000023,32,1000
/data/egentili/PR02R.mtx,7055615598.859364,0.002320,0.000000,0.002262,0.004871,32,1000
/data/egentili/raefsky2.mtx,22022756750.217129,0.000027,0.000000,0.000023,0.000206,32,1000
/data/egentili/rdist2.mtx,8351930866.893343,0.000014,0.000000,0.000010,0.000137,32,1000
/data/egentili/roadNet-PA.mtx,5089239017.510737,0.001212,0.000000,0.001155,0.003008,32,1000
/data/egentili/thermal1.mtx,20315786683.449013,0.000057,0.000000,0.000053,0.000495,32,1000
/data/egentili/thermal2.mtx,4367175356.644215,0.003929,0.000000,0.003745,0.007390,32,1000
/data/egentili/thermomech_TK.mtx,18858057982.711128,0.000075,0.000000,0.000072,0.000640,32,1000
/data/egentili/webbase-1M.mtx,3864785194.545823,0.001607,0.000000,0.001543,0.003189,32,1000
/data/egentili/west2021.mtx,1270356672.767407,0.000012,0.000000,0.000009,0.000024,32,1000
