File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,1351899126.395868,0.000017,0.000000,0.000015,0.000046,1,1000
/data/egentili/af_1_k101.mtx,1445609037.557999,0.024281,0.000082,0.020603,0.087580,1,1000
/data/egentili/af23560.mtx,1835034480.253939,0.000502,0.000000,0.000425,0.001916,1,1000
/data/egentili/amazon0302.mtx,607105306.586174,0.004068,0.000009,0.003290,0.047847,1,1000
/data/egentili/bcsstk17.mtx,1734444212.031548,0.000494,0.000000,0.000423,0.001777,1,1000
/data/egentili/cage4.mtx,240709085.267629,0.000000,0.000000,0.000000,0.000009,1,1000
/data/egentili/cant.mtx,1459854891.800504,0.005490,0.000014,0.004861,0.059253,1,1000
/data/egentili/cavity10.mtx,1874555119.006528,0.000081,0.000000,0.000076,0.000107,1,1000
/data/egentili/cop20k_A.mtx,971376274.664101,0.005403,0.000016,0.004702,0.067174,1,1000
/data/egentili/Cube_Coup_dt0.mtx,1514597177.456970,0.164276,0.000492,0.146928,0.329949,1,1000
/data/egentili/dc1.mtx,1591698277.049210,0.000963,0.000000,0.000882,0.004782,1,1000
/data/egentili/FEM_3D_thermal1.mtx,2089337559.315149,0.000412,0.000000,0.000404,0.000508,1,1000
/data/egentili/lung2.mtx,1838315941.711423,0.000536,0.000000,0.000521,0.000649,1,1000
/data/egentili/mac_econ_fwd500.mtx,1389281760.110054,0.001833,0.000000,0.001615,0.002191,1,1000
/data/egentili/mcfe.mtx,1824053211.182120,0.000027,0.000000,0.000025,0.000043,1,1000
/data/egentili/mhd4800a.mtx,1950388776.522333,0.000105,0.000000,0.000098,0.000146,1,1000
/data/egentili/mhda416.mtx,1906791032.764638,0.000009,0.000000,0.000009,0.000013,1,1000
/data/egentili/ML_Laplace.mtx,1572869817.289137,0.035073,0.000023,0.032243,0.082600,1,1000
/data/egentili/nlpkkt80.mtx,1609642169.179761,0.035030,0.000028,0.032477,0.083716,1,1000
/data/egentili/olafu.mtx,1782718183.480518,0.001139,0.000000,0.001096,0.001262,1,1000
/data/egentili/olm1000.mtx,1762233804.473832,0.000005,0.000000,0.000004,0.000021,1,1000
/data/egentili/PR02R.mtx,1569022352.329293,0.010433,0.000006,0.009695,0.052058,1,1000
/data/egentili/raefsky2.mtx,1689400981.466901,0.000348,0.000000,0.000324,0.000379,1,1000
/data/egentili/rdist2.mtx,1928283507.851142,0.000059,0.000000,0.000058,0.000081,1,1000
/data/egentili/roadNet-PA.mtx,594539730.007629,0.010374,0.000006,0.009221,0.051662,1,1000
/data/egentili/thermal1.mtx,1326747010.133410,0.000866,0.000000,0.000773,0.005080,1,1000
/data/egentili/thermal2.mtx,848216830.272438,0.020231,0.000019,0.016704,0.069111,1,1000
/data/egentili/thermomech_TK.mtx,1119918909.579956,0.001271,0.000000,0.001129,0.013668,1,1000
/data/egentili/webbase-1M.mtx,881140580.644617,0.007049,0.000004,0.006371,0.042604,1,1000
/data/egentili/west2021.mtx,1662245791.099209,0.000009,0.000000,0.000009,0.000025,1,1000
