File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,2075006312.322090,0.000011,0.000000,0.000008,0.000975,15,1000
/data/egentili/af_1_k101.mtx,5140302966.198984,0.006829,0.000004,0.006173,0.048551,15,1000
/data/egentili/af23560.mtx,22328199892.599174,0.000041,0.000000,0.000039,0.000282,15,1000
/data/egentili/amazon0302.mtx,10959969224.014547,0.000225,0.000000,0.000216,0.001552,15,1000
/data/egentili/bcsstk17.mtx,18440248119.024563,0.000046,0.000000,0.000044,0.000502,15,1000
/data/egentili/cage4.mtx,14499485.929628,0.000007,0.000000,0.000005,0.000013,15,1000
/data/egentili/cant.mtx,10085091642.553127,0.000795,0.000000,0.000641,0.005203,15,1000
/data/egentili/cavity10.mtx,6905258996.188316,0.000022,0.000000,0.000014,0.005116,15,1000
/data/egentili/cop20k_A.mtx,5619169583.569052,0.000934,0.000001,0.000684,0.022480,15,1000
/data/egentili/Cube_Coup_dt0.mtx,6657500370.372663,0.037373,0.000182,0.026714,0.112345,15,1000
/data/egentili/dc1.mtx,4701910147.993516,0.000326,0.000000,0.000301,0.000759,15,1000
/data/egentili/FEM_3D_thermal1.mtx,22541990447.326645,0.000038,0.000000,0.000036,0.000264,15,1000
/data/egentili/lung2.mtx,20987755018.334236,0.000047,0.000000,0.000045,0.000429,15,1000
/data/egentili/mac_econ_fwd500.mtx,22193049700.410099,0.000115,0.000000,0.000110,0.001046,15,1000
/data/egentili/mcfe.mtx,6178386740.330198,0.000008,0.000000,0.000006,0.000104,15,1000
/data/egentili/mhd4800a.mtx,14868797499.651175,0.000014,0.000000,0.000012,0.000135,15,1000
/data/egentili/mhda416.mtx,2715211269.595039,0.000006,0.000000,0.000005,0.000012,15,1000
/data/egentili/ML_Laplace.mtx,6805276140.746899,0.008106,0.000013,0.005301,0.048982,15,1000
/data/egentili/nlpkkt80.mtx,5711168562.985649,0.009873,0.000011,0.008103,0.051317,15,1000
/data/egentili/olafu.mtx,20220338087.041950,0.000100,0.000000,0.000097,0.000648,15,1000
/data/egentili/olm1000.mtx,1297565058.783566,0.000006,0.000000,0.000005,0.000015,15,1000
/data/egentili/PR02R.mtx,6675465245.022384,0.002452,0.000000,0.001639,0.012186,15,1000
/data/egentili/raefsky2.mtx,8457024442.862428,0.000069,0.000000,0.000034,0.010011,15,1000
/data/egentili/rdist2.mtx,10118138040.937685,0.000011,0.000000,0.000009,0.000135,15,1000
/data/egentili/roadNet-PA.mtx,3880090552.921708,0.001590,0.000000,0.001390,0.007831,15,1000
/data/egentili/thermal1.mtx,6759604931.292978,0.000170,0.000001,0.000099,0.012231,15,1000
/data/egentili/thermal2.mtx,3234120199.681569,0.005306,0.000005,0.004388,0.034009,15,1000
/data/egentili/thermomech_TK.mtx,15790045106.202040,0.000090,0.000000,0.000087,0.000658,15,1000
/data/egentili/webbase-1M.mtx,3066416705.976480,0.002026,0.000000,0.001815,0.008387,15,1000
/data/egentili/west2021.mtx,2229941611.361347,0.000007,0.000000,0.000005,0.000019,15,1000
