File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,1650980651.631518,0.000014,0.000000,0.000010,0.001242,23,1000
/data/egentili/af_1_k101.mtx,6434760929.937123,0.005455,0.000006,0.003521,0.051932,23,1000
/data/egentili/af23560.mtx,21886369003.291718,0.000042,0.000000,0.000039,0.000304,23,1000
/data/egentili/amazon0302.mtx,9744619257.023586,0.000253,0.000000,0.000231,0.004087,23,1000
/data/egentili/bcsstk17.mtx,20461987662.423424,0.000042,0.000000,0.000039,0.000312,23,1000
/data/egentili/cage4.mtx,12283446.681480,0.000008,0.000000,0.000006,0.000019,23,1000
/data/egentili/cant.mtx,10215965334.457537,0.000785,0.000002,0.000554,0.030116,23,1000
/data/egentili/cavity10.mtx,12058409825.494713,0.000013,0.000000,0.000010,0.000133,23,1000
/data/egentili/cop20k_A.mtx,6790271781.194826,0.000773,0.000002,0.000630,0.043350,23,1000
/data/egentili/Cube_Coup_dt0.mtx,6296438336.575912,0.039516,0.000160,0.025761,0.121138,23,1000
/data/egentili/dc1.mtx,4852526923.480882,0.000316,0.000000,0.000310,0.000789,23,1000
/data/egentili/FEM_3D_thermal1.mtx,22829380237.424225,0.000038,0.000000,0.000035,0.000276,23,1000
/data/egentili/lung2.mtx,15916297822.553209,0.000062,0.000000,0.000058,0.000490,23,1000
/data/egentili/mac_econ_fwd500.mtx,18866803114.921436,0.000135,0.000000,0.000128,0.001119,23,1000
/data/egentili/mcfe.mtx,4617522103.833416,0.000011,0.000000,0.000008,0.000141,23,1000
/data/egentili/mhd4800a.mtx,13207042278.889032,0.000015,0.000000,0.000013,0.000144,23,1000
/data/egentili/mhda416.mtx,1782988835.509209,0.000010,0.000000,0.000007,0.000101,23,1000
/data/egentili/ML_Laplace.mtx,6167478560.099951,0.008945,0.000017,0.005550,0.062346,23,1000
/data/egentili/nlpkkt80.mtx,4537790689.395049,0.012426,0.000011,0.010902,0.057755,23,1000
/data/egentili/olafu.mtx,24108217313.333843,0.000084,0.000000,0.000081,0.000646,23,1000
/data/egentili/olm1000.mtx,1009195310.777040,0.000008,0.000000,0.000006,0.000018,23,1000
/data/egentili/PR02R.mtx,7069467224.740047,0.002316,0.000001,0.001362,0.023988,23,1000
/data/egentili/raefsky2.mtx,19683253781.101742,0.000030,0.000000,0.000027,0.000210,23,1000
/data/egentili/rdist2.mtx,10542311101.908014,0.000011,0.000000,0.000009,0.000125,23,1000
/data/egentili/roadNet-PA.mtx,4107747603.389140,0.001501,0.000003,0.001207,0.032204,23,1000
/data/egentili/thermal1.mtx,14172737640.725199,0.000081,0.000000,0.000067,0.000561,23,1000
/data/egentili/thermal2.mtx,3835835459.841831,0.004474,0.000004,0.003702,0.044971,23,1000
/data/egentili/thermomech_TK.mtx,14232190875.754702,0.000100,0.000000,0.000097,0.000721,23,1000
/data/egentili/webbase-1M.mtx,3125402480.703209,0.001987,0.000004,0.001401,0.050134,23,1000
/data/egentili/west2021.mtx,1812909678.760407,0.000008,0.000000,0.000006,0.000016,23,1000
