File,FLOPS,mean_time [s],std_dev,min,max,num_threads,num_runs
/data/egentili/adder_dcop_32.mtx,442074139.834748,0.000051,0.000000,0.000048,0.000992,15,1000
/data/egentili/af_1_k101.mtx,6565960711.307808,0.005346,0.000001,0.003251,0.009973,15,1000
/data/egentili/af23560.mtx,16563900574.355541,0.000056,0.000000,0.000053,0.000266,15,1000
/data/egentili/amazon0302.mtx,9731920644.890966,0.000254,0.000000,0.000247,0.001144,15,1000
/data/egentili/bcsstk17.mtx,14831387230.411530,0.000058,0.000000,0.000056,0.000325,15,1000
/data/egentili/cage4.mtx,14496103.232355,0.000007,0.000000,0.000005,0.000019,15,1000
/data/egentili/cant.mtx,9850245364.498661,0.000814,0.000000,0.000783,0.002274,15,1000
/data/egentili/cavity10.mtx,7306067528.421270,0.000021,0.000000,0.000018,0.000163,15,1000
/data/egentili/cop20k_A.mtx,5260161024.907022,0.000998,0.000000,0.000934,0.001963,15,1000
/data/egentili/Cube_Coup_dt0.mtx,5476126760.879402,0.045436,0.000010,0.035646,0.070859,15,1000
/data/egentili/dc1.mtx,279016997.375298,0.005494,0.000000,0.005445,0.005919,15,1000
/data/egentili/FEM_3D_thermal1.mtx,17671746835.306183,0.000049,0.000000,0.000046,0.000317,15,1000
/data/egentili/lung2.mtx,9691829475.282104,0.000102,0.000000,0.000098,0.000489,15,1000
/data/egentili/mac_econ_fwd500.mtx,2599776957.850091,0.000980,0.000000,0.000950,0.002562,15,1000
/data/egentili/mcfe.mtx,4435306115.259628,0.000011,0.000000,0.000009,0.000118,15,1000
/data/egentili/mhd4800a.mtx,9864260616.319746,0.000021,0.000000,0.000018,0.000147,15,1000
/data/egentili/mhda416.mtx,2429106197.252868,0.000007,0.000000,0.000005,0.000023,15,1000
/data/egentili/ML_Laplace.mtx,5931942900.097122,0.009300,0.000000,0.009155,0.015546,15,1000
/data/egentili/nlpkkt80.mtx,5509798009.119823,0.010234,0.000000,0.010035,0.017257,15,1000
/data/egentili/olafu.mtx,16971771864.559628,0.000120,0.000000,0.000117,0.000491,15,1000
/data/egentili/olm1000.mtx,1253566320.491356,0.000006,0.000000,0.000005,0.000013,15,1000
/data/egentili/PR02R.mtx,5242449486.476195,0.003123,0.000000,0.003083,0.005806,15,1000
/data/egentili/raefsky2.mtx,16012421399.128752,0.000037,0.000000,0.000035,0.000198,15,1000
/data/egentili/rdist2.mtx,5011244421.907150,0.000023,0.000000,0.000020,0.000167,15,1000
/data/egentili/roadNet-PA.mtx,3593219669.343225,0.001716,0.000000,0.001686,0.003572,15,1000
/data/egentili/thermal1.mtx,12522411028.665789,0.000092,0.000000,0.000088,0.000578,15,1000
/data/egentili/thermal2.mtx,3391144280.779500,0.005060,0.000000,0.005011,0.008712,15,1000
/data/egentili/thermomech_TK.mtx,11349464803.796829,0.000125,0.000000,0.000122,0.000716,15,1000
/data/egentili/webbase-1M.mtx,958806418.012188,0.006478,0.000000,0.006407,0.008451,15,1000
/data/egentili/west2021.mtx,1810416220.159342,0.000008,0.000000,0.000006,0.000024,15,1000
